Date : 2026-08-02 05:31:01
Directory : e:\enLearn\api\src
Total : 102 files,  18240 codes, 1 comments, 2358 blanks, all 20599 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        102 |     18,240 |          1 |      2,358 |     20,599 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                 |        102 |     18,240 |          1 |      2,358 |     20,599 |
| . (Files)                                                         |          2 |         48 |          0 |          9 |         57 |
| account                                                           |          2 |        199 |          0 |         37 |        236 |
| admin                                                             |          2 |      1,957 |          0 |        356 |      2,313 |
| auth                                                              |          4 |        294 |          0 |         58 |        352 |
| chat                                                              |          5 |        960 |          0 |        142 |      1,102 |
| common                                                            |         10 |      1,099 |          0 |        205 |      1,304 |
| common (Files)                                                    |          1 |         16 |          0 |          4 |         20 |
| common\dto                                                        |          1 |         13 |          0 |          4 |         17 |
| common\interfaces                                                 |          1 |         11 |          0 |          2 |         13 |
| common\middleware                                                 |          1 |        114 |          0 |         22 |        136 |
| common\utils                                                      |          6 |        945 |          0 |        173 |      1,118 |
| domain-service                                                    |          4 |        175 |          0 |         23 |        198 |
| entity-design                                                     |          2 |        970 |          0 |         87 |      1,057 |
| files                                                             |          5 |        978 |          0 |        132 |      1,110 |
| gateway                                                           |          3 |        242 |          0 |         34 |        276 |
| lowcode                                                           |          4 |      1,866 |          0 |        259 |      2,125 |
| notification                                                      |          3 |        705 |          0 |        101 |        806 |
| payment                                                           |          2 |        257 |          0 |         43 |        300 |
| posts                                                             |          2 |        123 |          0 |         27 |        150 |
| user                                                              |          2 |        114 |          0 |         26 |        140 |
| workflow                                                          |         47 |      7,968 |          1 |        790 |      8,759 |
| workflow (Files)                                                  |          3 |        257 |          0 |         24 |        281 |
| workflow-service                                                  |          3 |        285 |          0 |         29 |        314 |
| workflow\common                                                   |          4 |        148 |          0 |         31 |        179 |
| workflow\definition                                               |          7 |        864 |          0 |         72 |        936 |
| workflow\health                                                   |          2 |         21 |          0 |          4 |         25 |
| workflow\history                                                  |          2 |         19 |          0 |          5 |         24 |
| workflow\integration                                              |          1 |          3 |          0 |          2 |          5 |
| workflow\job                                                      |          7 |        674 |          0 |         96 |        770 |
| workflow\rule                                                     |          1 |          3 |          0 |          2 |          5 |
| workflow\runtime                                                  |         11 |      4,149 |          0 |        357 |      4,506 |
| workflow\task                                                     |          2 |         90 |          0 |         16 |        106 |
| workflow\testing                                                  |          1 |        309 |          0 |         31 |        340 |
| workflow\trigger                                                  |          6 |      1,431 |          1 |        150 |      1,582 |
+-------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                          | language   | code       | comment    | blank      | total      |
