"filename", "language", "JSON with Comments", "JSON", "TypeScript", "log", "YAML", "PowerShell", "comment", "blank", "total"
"e:\enLearn\api\logs\api-20260731-083359.err.log", "log", 0, 0, 0, 451, 0, 0, 0, 44, 495
"e:\enLearn\api\logs\api-20260731-083359.out.log", "log", 0, 0, 0, 1427, 0, 0, 0, 3, 1430
"e:\enLearn\api\logs\api.err.log", "log", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\enLearn\api\logs\api.out.log", "log", 0, 0, 0, 23, 0, 0, 0, 3, 26
"e:\enLearn\api\logs\domain-service-20260731-083359.err.log", "log", 0, 0, 0, 21, 0, 0, 0, 3, 24
"e:\enLearn\api\logs\domain-service-20260731-083359.out.log", "log", 0, 0, 0, 18, 0, 0, 0, 3, 21
"e:\enLearn\api\logs\domain-service-20260731-095152.err.log", "log", 0, 0, 0, 355, 0, 0, 0, 26, 381
"e:\enLearn\api\logs\domain-service-20260731-095152.out.log", "log", 0, 0, 0, 91, 0, 0, 0, 3, 94
"e:\enLearn\api\logs\domain-service.err.log", "log", 0, 0, 0, 2, 0, 0, 0, 1, 3
"e:\enLearn\api\logs\domain-service.out.log", "log", 0, 0, 0, 17, 0, 0, 0, 3, 20
"e:\enLearn\api\logs\workflow-service-20260731-083359.err.log", "log", 0, 0, 0, 552, 0, 0, 0, 24, 576
"e:\enLearn\api\logs\workflow-service-20260731-083359.out.log", "log", 0, 0, 0, 215336, 0, 0, 0, 3, 215339
"e:\enLearn\api\logs\workflow-service.err.log", "log", 0, 0, 0, 8, 0, 0, 0, 1, 9
"e:\enLearn\api\logs\workflow-service.out.log", "log", 0, 0, 0, 4900, 0, 0, 0, 3, 4903
"e:\enLearn\api\package.json", "JSON", 0, 58, 0, 0, 0, 0, 0, 1, 59
"e:\enLearn\api\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 3619, 0, 0, 1018, 4637
"e:\enLearn\api\scripts\apply-chat-socket-system.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 24, 135
"e:\enLearn\api\scripts\apply-file-storage-system.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 23, 126
"e:\enLearn\api\scripts\apply-permission-schema.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 15, 95
"e:\enLearn\api\scripts\apply-trigger-workflow-route.ts", "TypeScript", 0, 0, 113, 0, 0, 0, 0, 23, 136
"e:\enLearn\api\scripts\apply-workflow-jobs-migration.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 8, 46
"e:\enLearn\api\scripts\apply-workflow-migrations.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 6, 42
"e:\enLearn\api\scripts\generate-lowcode-table-page.ts", "TypeScript", 0, 0, 124, 0, 0, 0, 0, 13, 137
"e:\enLearn\api\scripts\smoke-system-minimal-approval.ts", "TypeScript", 0, 0, 216, 0, 0, 0, 0, 23, 239
"e:\enLearn\api\scripts\smoke-trigger-waitpoint.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 12, 58
"e:\enLearn\api\scripts\start-trigger-dev.ps1", "PowerShell", 0, 0, 0, 0, 0, 52, 0, 14, 66
"e:\enLearn\api\scripts\sync-user-role-lowcode-page.ts", "TypeScript", 0, 0, 243, 0, 0, 0, 0, 28, 271
"e:\enLearn\api\scripts\test-db-connection.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 11, 72
"e:\enLearn\api\src\account\account.service.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, -1, -9
"e:\enLearn\api\src\admin\admin.service.ts", "TypeScript", 0, 0, -1508, 0, 0, 0, 0, -307, -1815
"e:\enLearn\api\src\chat\chat.gateway.ts", "TypeScript", 0, 0, -1, 0, 0, 0, 0, 0, -1
"e:\enLearn\api\src\chat\chat.service.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, -19, -3
"e:\enLearn\api\src\common\base.service.ts", "TypeScript", 0, 0, 805, 0, 0, 0, 0, 136, 941
"e:\enLearn\api\src\common\utils\list-items.ts", "TypeScript", 0, 0, 339, 0, 0, 0, 0, 64, 403
"e:\enLearn\api\src\entity-design\entity-design.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 7
"e:\enLearn\api\src\files\files.helpers.ts", "TypeScript", 0, 0, 210, 0, 0, 0, 0, 27, 237
"e:\enLearn\api\src\files\files.resources.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 2, 105
"e:\enLearn\api\src\files\files.service.ts", "TypeScript", 0, 0, -309, 0, 0, 0, 0, -49, -358
"e:\enLearn\api\src\lowcode\lowcode.helpers.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 9, 55
"e:\enLearn\api\src\lowcode\lowcode.resources.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 5, 78
