Date : 2026-08-19 00:37:56
Directory : e:\enLearn\suanfa\packages
Total : 217 files,  -230514 codes, 83 comments, -2425 blanks, all -232856 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         17 |        456 |          0 |         13 |        469 |
| JSON with Comments |         10 |         75 |          0 |          8 |         83 |
| PowerShell         |          1 |        -52 |          0 |        -14 |        -66 |
| YAML               |          1 |     -3,619 |          0 |     -1,018 |     -4,637 |
| TypeScript         |        174 |     -4,173 |         83 |     -1,293 |     -5,383 |
| log                |         14 |   -223,201 |          0 |       -121 |   -223,322 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |        217 |   -230,514 |         83 |     -2,425 |   -232,856 |
| ..                                                                                    |        139 |   -245,585 |         -1 |     -3,452 |   -249,038 |
| ..\..                                                                                 |        139 |   -245,585 |         -1 |     -3,452 |   -249,038 |
| ..\..\api                                                                             |        139 |   -245,585 |         -1 |     -3,452 |   -249,038 |
| ..\..\api (Files)                                                                     |          5 |     -3,714 |          0 |     -1,023 |     -4,737 |
| ..\..\api\logs                                                                        |         14 |   -223,201 |          0 |       -121 |   -223,322 |
| ..\..\api\scripts                                                                     |         12 |     -1,223 |          0 |       -200 |     -1,423 |
| ..\..\api\src                                                                         |        108 |    -17,447 |         -1 |     -2,108 |    -19,556 |
| ..\..\api\src (Files)                                                                 |          2 |        -48 |          0 |         -9 |        -57 |
| ..\..\api\src\account                                                                 |          2 |       -191 |          0 |        -36 |       -227 |
| ..\..\api\src\admin                                                                   |          2 |       -449 |          0 |        -49 |       -498 |
| ..\..\api\src\auth                                                                    |          4 |       -294 |          0 |        -58 |       -352 |
| ..\..\api\src\chat                                                                    |          5 |       -975 |          0 |       -123 |     -1,098 |
| ..\..\api\src\common                                                                  |         11 |     -2,243 |          0 |       -405 |     -2,648 |
| ..\..\api\src\common (Files)                                                          |          2 |       -821 |          0 |       -140 |       -961 |
| ..\..\api\src\common\dto                                                              |          1 |        -13 |          0 |         -4 |        -17 |
| ..\..\api\src\common\interfaces                                                       |          1 |        -11 |          0 |         -2 |        -13 |
| ..\..\api\src\common\middleware                                                       |          1 |       -114 |          0 |        -22 |       -136 |
| ..\..\api\src\common\utils                                                            |          6 |     -1,284 |          0 |       -237 |     -1,521 |
| ..\..\api\src\domain-service                                                          |          4 |       -175 |          0 |        -23 |       -198 |
| ..\..\api\src\entity-design                                                           |          2 |       -977 |          0 |        -87 |     -1,064 |
| ..\..\api\src\files                                                                   |          7 |       -982 |          0 |       -112 |     -1,094 |
| ..\..\api\src\gateway                                                                 |          3 |       -242 |          0 |        -34 |       -276 |
| ..\..\api\src\lowcode                                                                 |          7 |     -1,696 |          0 |       -219 |     -1,915 |
| ..\..\api\src\notification                                                            |          3 |       -501 |          0 |        -56 |       -557 |
| ..\..\api\src\payment                                                                 |          2 |       -254 |          0 |        -43 |       -297 |
| ..\..\api\src\posts                                                                   |          2 |        -38 |          0 |         -5 |        -43 |
| ..\..\api\src\user                                                                    |          2 |       -124 |          0 |        -29 |       -153 |
| ..\..\api\src\workflow                                                                |         47 |     -7,973 |         -1 |       -791 |     -8,765 |
| ..\..\api\src\workflow (Files)                                                        |          3 |       -262 |          0 |        -25 |       -287 |
| ..\..\api\src\workflow-service                                                        |          3 |       -285 |          0 |        -29 |       -314 |
| ..\..\api\src\workflow\common                                                         |          4 |       -148 |          0 |        -31 |       -179 |
| ..\..\api\src\workflow\definition                                                     |          7 |       -864 |          0 |        -72 |       -936 |
| ..\..\api\src\workflow\health                                                         |          2 |        -21 |          0 |         -4 |        -25 |
| ..\..\api\src\workflow\history                                                        |          2 |        -19 |          0 |         -5 |        -24 |
| ..\..\api\src\workflow\integration                                                    |          1 |         -3 |          0 |         -2 |         -5 |
| ..\..\api\src\workflow\job                                                            |          7 |       -674 |          0 |        -96 |       -770 |
| ..\..\api\src\workflow\rule                                                           |          1 |         -3 |          0 |         -2 |         -5 |
| ..\..\api\src\workflow\runtime                                                        |         11 |     -4,149 |          0 |       -357 |     -4,506 |
| ..\..\api\src\workflow\task                                                           |          2 |        -90 |          0 |        -16 |       -106 |
| ..\..\api\src\workflow\testing                                                        |          1 |       -309 |          0 |        -31 |       -340 |
| ..\..\api\src\workflow\trigger                                                        |          6 |     -1,431 |         -1 |       -150 |     -1,582 |
| compatibility                                                                         |          3 |         27 |          0 |          3 |         30 |
| compatibility (Files)                                                                 |          2 |         26 |          0 |          2 |         28 |
| compatibility\src                                                                     |          1 |          1 |          0 |          1 |          2 |
| fixture                                                                               |          7 |        426 |          0 |         68 |        494 |
| fixture (Files)                                                                       |          2 |         32 |          0 |          2 |         34 |
| fixture\src                                                                           |          3 |        351 |          0 |         54 |        405 |
| fixture\test                                                                          |          2 |         43 |          0 |         12 |         55 |
| forecast                                                                              |          8 |      1,718 |          0 |        161 |      1,879 |
| forecast (Files)                                                                      |          2 |         28 |          0 |          2 |         30 |
| forecast\src                                                                          |          5 |      1,641 |          0 |        149 |      1,790 |
| forecast\test                                                                         |          1 |         49 |          0 |         10 |         59 |
| graph                                                                                 |          5 |        402 |          0 |         45 |        447 |
| graph (Files)                                                                         |          2 |         25 |          0 |          2 |         27 |
| graph\src                                                                             |          2 |        353 |          0 |         35 |        388 |
| graph\test                                                                            |          1 |         24 |          0 |          8 |         32 |
| kernel                                                                                |          7 |        154 |          0 |         31 |        185 |
| kernel (Files)                                                                        |          2 |         21 |          0 |          2 |         23 |
| kernel\src                                                                            |          4 |        105 |          0 |         24 |        129 |
| kernel\test                                                                           |          1 |         28 |          0 |          5 |         33 |
| model                                                                                 |          5 |        281 |          0 |         44 |        325 |
| model (Files)                                                                         |          2 |         25 |          0 |          2 |         27 |
| model\src                                                                             |          2 |        187 |          0 |         33 |        220 |
| model\test                                                                            |          1 |         69 |          0 |          9 |         78 |
| mrp                                                                                   |         33 |     11,463 |         84 |        583 |     12,130 |
| mrp (Files)                                                                           |          2 |         30 |          0 |          2 |         32 |
| mrp\src                                                                               |          6 |      9,819 |         84 |        427 |     10,330 |
| mrp\test                                                                              |         25 |      1,614 |          0 |        154 |      1,768 |
| mrp\test (Files)                                                                      |         19 |      1,231 |          0 |        148 |      1,379 |
| mrp\test\fixtures-json                                                                |          6 |        383 |          0 |          6 |        389 |
| timeline                                                                              |          5 |        406 |          0 |         53 |        459 |
| timeline (Files)                                                                      |          2 |         25 |          0 |          2 |         27 |
| timeline\src                                                                          |          2 |        310 |          0 |         41 |        351 |
| timeline\test                                                                         |          1 |         71 |          0 |         10 |         81 |
| transaction                                                                           |          5 |        194 |          0 |         39 |        233 |
| transaction (Files)                                                                   |          2 |         25 |          0 |          2 |         27 |
| transaction\src                                                                       |          2 |        118 |          0 |         23 |        141 |
| transaction\test                                                                      |          1 |         51 |          0 |         14 |         65 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                              | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\enLearn\api\logs\api-20260731-083359.err.log                                       | log                |       -451 |          0 |        -44 |       -495 |
| e:\enLearn\api\logs\api-20260731-083359.out.log                                       | log                |     -1,427 |          0 |         -3 |     -1,430 |
| e:\enLearn\api\logs\api.err.log                                                       | log                |          0 |          0 |         -1 |         -1 |
| e:\enLearn\api\logs\api.out.log                                                       | log                |        -23 |          0 |         -3 |        -26 |
| e:\enLearn\api\logs\domain-service-20260731-083359.err.log                            | log                |        -21 |          0 |         -3 |        -24 |
| e:\enLearn\api\logs\domain-service-20260731-083359.out.log                            | log                |        -18 |          0 |         -3 |        -21 |
| e:\enLearn\api\logs\domain-service-20260731-095152.err.log                            | log                |       -355 |          0 |        -26 |       -381 |
| e:\enLearn\api\logs\domain-service-20260731-095152.out.log                            | log                |        -91 |          0 |         -3 |        -94 |
| e:\enLearn\api\logs\domain-service.err.log                                            | log                |         -2 |          0 |         -1 |         -3 |
| e:\enLearn\api\logs\domain-service.out.log                                            | log                |        -17 |          0 |         -3 |        -20 |
| e:\enLearn\api\logs\workflow-service-20260731-083359.err.log                          | log                |       -552 |          0 |        -24 |       -576 |
| e:\enLearn\api\logs\workflow-service-20260731-083359.out.log                          | log                |   -215,336 |          0 |         -3 |   -215,339 |
| e:\enLearn\api\logs\workflow-service.err.log                                          | log                |         -8 |          0 |         -1 |         -9 |
| e:\enLearn\api\logs\workflow-service.out.log                                          | log                |     -4,900 |          0 |         -3 |     -4,903 |
| e:\enLearn\api\package.json                                                           | JSON               |        -58 |          0 |         -1 |        -59 |
| e:\enLearn\api\pnpm-lock.yaml                                                         | YAML               |     -3,619 |          0 |     -1,018 |     -4,637 |
| e:\enLearn\api\scripts\apply-chat-socket-system.ts                                    | TypeScript         |       -111 |          0 |        -24 |       -135 |
| e:\enLearn\api\scripts\apply-file-storage-system.ts                                   | TypeScript         |       -103 |          0 |        -23 |       -126 |
| e:\enLearn\api\scripts\apply-permission-schema.ts                                     | TypeScript         |        -80 |          0 |        -15 |        -95 |
| e:\enLearn\api\scripts\apply-trigger-workflow-route.ts                                | TypeScript         |       -113 |          0 |        -23 |       -136 |
| e:\enLearn\api\scripts\apply-workflow-jobs-migration.ts                               | TypeScript         |        -38 |          0 |         -8 |        -46 |
| e:\enLearn\api\scripts\apply-workflow-migrations.ts                                   | TypeScript         |        -36 |          0 |         -6 |        -42 |
| e:\enLearn\api\scripts\generate-lowcode-table-page.ts                                 | TypeScript         |       -124 |          0 |        -13 |       -137 |
| e:\enLearn\api\scripts\smoke-system-minimal-approval.ts                               | TypeScript         |       -216 |          0 |        -23 |       -239 |
| e:\enLearn\api\scripts\smoke-trigger-waitpoint.ts                                     | TypeScript         |        -46 |          0 |        -12 |        -58 |
| e:\enLearn\api\scripts\start-trigger-dev.ps1                                          | PowerShell         |        -52 |          0 |        -14 |        -66 |
| e:\enLearn\api\scripts\sync-user-role-lowcode-page.ts                                 | TypeScript         |       -243 |          0 |        -28 |       -271 |
| e:\enLearn\api\scripts\test-db-connection.ts                                          | TypeScript         |        -61 |          0 |        -11 |        -72 |
| e:\enLearn\api\src\account\account.module.ts                                          | TypeScript         |         -7 |          0 |         -2 |         -9 |
| e:\enLearn\api\src\account\account.service.ts                                         | TypeScript         |       -184 |          0 |        -34 |       -218 |
| e:\enLearn\api\src\admin\admin.module.ts                                              | TypeScript         |         -7 |          0 |         -2 |         -9 |
| e:\enLearn\api\src\admin\admin.service.ts                                             | TypeScript         |       -442 |          0 |        -47 |       -489 |
| e:\enLearn\api\src\app.module.ts                                                      | TypeScript         |        -16 |          0 |         -2 |        -18 |
