"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "Vue", "SCSS", "JSON", "Markdown", "comment", "blank", "total"
"e:\enLearn\packages\lowcode-framework\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1686, 0, 419, 2105
"e:\enLearn\packages\lowcode-framework\package.json", "JSON", 0, 0, 0, 0, 0, 86, 0, 0, 1, 87
"e:\enLearn\packages\lowcode-framework\src\components\GlobalDialogHost.tsx", "TypeScript JSX", 0, 643, 0, 0, 0, 0, 0, 1, 84, 728
"e:\enLearn\packages\lowcode-framework\src\components\GlobalDrawerHost.tsx", "TypeScript JSX", 0, 85, 0, 0, 0, 0, 0, 0, 8, 93
"e:\enLearn\packages\lowcode-framework\src\components\JsonDialogInput.vue", "Vue", 0, 0, 0, 64, 0, 0, 0, 0, 6, 70
"e:\enLearn\packages\lowcode-framework\src\components\JsonDialogInput.vue.d.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\enLearn\packages\lowcode-framework\src\components\LcVxeModalRenderer.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"e:\enLearn\packages\lowcode-framework\src\components\LegacyWidgets.tsx", "TypeScript JSX", 0, 676, 0, 0, 0, 0, 0, 0, 33, 709
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeBlockChildren.vue", "Vue", 0, 0, 0, 55, 0, 0, 0, 0, 6, 61
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeBlockRenderer.vue", "Vue", 0, 0, 0, 45, 0, 0, 0, 0, 5, 50
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeCategoryDrawer.vue", "Vue", 0, 0, 0, 415, 0, 0, 0, 0, 45, 460
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeCategoryTreeNode.vue", "Vue", 0, 0, 0, 195, 0, 0, 0, 0, 26, 221
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeContextDrawerPanel.vue", "Vue", 0, 0, 0, 793, 0, 0, 0, 0, 90, 883
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeForm.vue", "Vue", 0, 0, 0, 993, 0, 0, 0, 14, 123, 1130
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeForm.vue.d.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 1, 88
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeFormField.vue", "Vue", 0, 0, 0, 123, 0, 0, 0, 2, 19, 144
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeFormField.vue.d.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 1, 41
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeFormLayout.vue", "Vue", 0, 0, 0, 215, 0, 0, 0, 0, 34, 249
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeFormLayout.vue.d.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 1, 0, 20
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeGrid.vue", "Vue", 0, 0, 0, 579, 0, 0, 0, 0, 69, 648
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeGrid.vue.d.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 5, 60
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeOverlayHost.vue", "Vue", 0, 0, 0, 55, 0, 0, 0, 0, 6, 61
"e:\enLearn\packages\lowcode-framework\src\components\LowCodePageRenderer.vue", "Vue", 0, 0, 0, 3602, 0, 0, 0, 0, 417, 4019
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeTreeItem.vue", "Vue", 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"e:\enLearn\packages\lowcode-framework\src\components\LowCodeVisualDesigner.vue", "Vue", 0, 0, 0, 1418, 0, 0, 0, 0, 148, 1566
"e:\enLearn\packages\lowcode-framework\src\components\SystemMenuTreeNode.vue", "Vue", 0, 0, 0, 180, 0, 0, 0, 0, 15, 195
"e:\enLearn\packages\lowcode-framework\src\components\VisualEditorProvider.vue", "Vue", 0, 0, 0, 133, 0, 0, 0, 0, 17, 150
"e:\enLearn\packages\lowcode-framework\src\components\json-dialog-input.d.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"e:\enLearn\packages\lowcode-framework\src\components\low-code-form.d.ts", "TypeScript", 125, 0, 0, 0, 0, 0, 0, 0, 10, 135
"e:\enLearn\packages\lowcode-framework\src\core\host.ts", "TypeScript", 282, 0, 0, 0, 0, 0, 0, 0, 36, 318
"e:\enLearn\packages\lowcode-framework\src\core\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\enLearn\packages\lowcode-framework\src\core\system-settings.ts", "TypeScript", 440, 0, 0, 0, 0, 0, 0, 4, 31, 475
"e:\enLearn\packages\lowcode-framework\src\designer\design-dialog.ts", "TypeScript", 131, 0, 0, 0, 0, 0, 0, 0, 9, 140
"e:\enLearn\packages\lowcode-framework\src\designer\index.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 2, 37
"e:\enLearn\packages\lowcode-framework\src\enums\httpEnum.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 13, 3, 35
"e:\enLearn\packages\lowcode-framework\src\enums\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 10, 2, 15
"e:\enLearn\packages\lowcode-framework\src\hooks\useAnimate.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 12, 10, 62
"e:\enLearn\packages\lowcode-framework\src\hooks\useGlobalProperties.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 7, 5, 28
"e:\enLearn\packages\lowcode-framework\src\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\enLearn\packages\lowcode-framework\src\lowcode\actions\builtins.ts", "TypeScript", 423, 0, 0, 0, 0, 0, 0, 0, 27, 450
"e:\enLearn\packages\lowcode-framework\src\lowcode\actions\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\button-group\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
