Date : 2026-08-23 16:34:50
Directory : e:\enLearn\packages\lowcode-framework
Total : 315 files,  54359 codes, 1045 comments, 6206 blanks, all 61610 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Vue                |         66 |     19,747 |         64 |      2,270 |     22,081 |
| TypeScript         |        164 |     19,175 |        498 |      2,087 |     21,760 |
| TypeScript JSX     |         68 |     11,143 |        432 |        999 |     12,574 |
| SCSS               |         14 |      2,473 |         51 |        429 |      2,953 |
| Markdown           |          1 |      1,686 |          0 |        419 |      2,105 |
| JSON               |          1 |         86 |          0 |          1 |         87 |
| JSON with Comments |          1 |         49 |          0 |          1 |         50 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        315 |     54,359 |      1,045 |      6,206 |     61,610 |
| . (Files)                                                                                                                           |          3 |      1,821 |          0 |        421 |      2,242 |
| src                                                                                                                                 |        312 |     52,538 |      1,045 |      5,785 |     59,368 |
| src (Files)                                                                                                                         |          2 |         41 |          3 |          6 |         50 |
| src\components                                                                                                                      |         27 |     10,730 |         18 |      1,183 |     11,931 |
| src\core                                                                                                                            |          3 |        730 |          4 |         68 |        802 |
| src\designer                                                                                                                        |          2 |        166 |          0 |         11 |        177 |
| src\enums                                                                                                                           |          2 |         22 |         23 |          5 |         50 |
| src\hooks                                                                                                                           |          2 |         56 |         19 |         15 |         90 |
| src\lowcode                                                                                                                         |        106 |     14,192 |          6 |      1,578 |     15,776 |
| src\lowcode (Files)                                                                                                                 |          5 |      1,037 |          0 |        158 |      1,195 |
| src\lowcode\actions                                                                                                                 |          2 |        424 |          0 |         28 |        452 |
| src\lowcode\block-materials                                                                                                         |         46 |      6,127 |          3 |        592 |      6,722 |
| src\lowcode\block-materials (Files)                                                                                                 |          7 |      1,626 |          0 |        161 |      1,787 |
| src\lowcode\block-materials\button-group                                                                                            |          2 |        329 |          0 |         38 |        367 |
| src\lowcode\block-materials\container                                                                                               |          2 |         42 |          0 |          5 |         47 |
| src\lowcode\block-materials\detail                                                                                                  |          2 |         29 |          0 |          5 |         34 |
| src\lowcode\block-materials\drawer                                                                                                  |          2 |         45 |          0 |          5 |         50 |
| src\lowcode\block-materials\form                                                                                                    |          2 |        200 |          0 |         17 |        217 |
| src\lowcode\block-materials\grid                                                                                                    |          5 |      1,183 |          3 |        118 |      1,304 |
| src\lowcode\block-materials\modal                                                                                                   |          2 |        136 |          0 |         14 |        150 |
