"filename", "language", "TypeScript", "JSON with Comments", "YAML", "JSON", "Vue", "Markdown", "CSS", "HTML", "JavaScript", "TypeScript JSX", "Skill", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"e:\enLearn\packages\approval-workflow\package.json", "JSON", 0, 0, 0, -45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -46
"e:\enLearn\packages\approval-workflow\pnpm-lock.yaml", "YAML", 0, 0, -831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -224, -1055
"e:\enLearn\packages\approval-workflow\src\components\ApprovalDesigner.vue", "Vue", 0, 0, 0, 0, -2979, 0, 0, 0, 0, 0, 0, 0, 0, 0, -436, -3415
"e:\enLearn\packages\approval-workflow\src\components\ApprovalFlowNode.vue", "Vue", 0, 0, 0, 0, -264, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -295
"e:\enLearn\packages\approval-workflow\src\components\ApprovalFlowViewer.vue", "Vue", 0, 0, 0, 0, -65, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -76
"e:\enLearn\packages\approval-workflow\src\components\ApprovalRuntimeViewer.vue", "Vue", 0, 0, 0, 0, -360, 0, 0, 0, 0, 0, 0, 0, 0, 0, -40, -400
"e:\enLearn\packages\approval-workflow\src\components\ApprovalTaskPanel.vue", "Vue", 0, 0, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -94
"e:\enLearn\packages\approval-workflow\src\components\ApprovalTimeline.vue", "Vue", 0, 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -58
"e:\enLearn\packages\approval-workflow\src\flow-adapter.ts", "TypeScript", -601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, -687
"e:\enLearn\packages\approval-workflow\src\hooks\useWorkflowValidation.ts", "TypeScript", -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -21
"e:\enLearn\packages\approval-workflow\src\index.ts", "TypeScript", -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -15
"e:\enLearn\packages\approval-workflow\src\types\task.ts", "TypeScript", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -24
"e:\enLearn\packages\approval-workflow\src\types\vue-shim.d.ts", "TypeScript", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"e:\enLearn\packages\approval-workflow\src\utils.ts", "TypeScript", -440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -455
"e:\enLearn\packages\approval-workflow\tsconfig.json", "JSON with Comments", 0, -43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -44
"e:\enLearn\packages\area-plugin\DEVELOPMENT_PLAN.md", "Markdown", 0, 0, 0, 0, 0, -252, 0, 0, 0, 0, 0, 0, 0, 0, -83, -335
"e:\enLearn\packages\area-plugin\TESTING.md", "Markdown", 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, -16, -51
"e:\enLearn\packages\area-plugin\package.json", "JSON", 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -36
"e:\enLearn\packages\area-plugin\scripts\copy-style.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, -3, -11
"e:\enLearn\packages\area-plugin\src\core\guards.ts", "TypeScript", -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -16
"e:\enLearn\packages\area-plugin\src\core\merge.ts", "TypeScript", -131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -147
"e:\enLearn\packages\area-plugin\src\core\resize.ts", "TypeScript", -118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -135
"e:\enLearn\packages\area-plugin\src\core\selection.ts", "TypeScript", -1490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -172, -1662
"e:\enLearn\packages\area-plugin\src\core\store.ts", "TypeScript", -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -34
